town,county,total_enrollment,weighted_frpl_rate,county_median_income,low_confidence_flag,PC1,PC2,PC3,PC4,PC5,hardship_score
Killington,Rutland,111.0,12.61,62641,0,-2.190112971064897,-1.9857318407856746,-2.359483801533995,-0.8254427245641258,0.45315006972840266,-0.312
Lake Elmore,Lamoille,17.0,29.41,69886,1,-0.3663239097162486,-1.4011105834149475,0.7648619393831908,-0.45683103512923495,1.1291267695462626,0.004
Lincoln,Addison,70.0,24.29,85870,0,-2.243347370981658,-1.214106217389036,2.607625134661001,0.03636451218234498,1.0027187523785477,-2.094
Londonderry,Windham,308.0,26.62,65473,0,-0.040399013409097864,-1.1429037639454342,-1.9231725834406859,-0.2869688600965112,-0.8021449759133041,0.305
Lowell,Orleans,86.0,68.6,63981,0,6.502226919848069,-0.15369888195579576,1.6275587379891792,-0.1260878871380467,-0.05104898993932822,3.253
Ludlow,Windsor,87.0,43.68,69492,0,1.6849140787861305,-0.7299519129106988,1.3124719476399855,-0.35635063208326634,0.5345569406430009,0.995
Lyndonville,Caledonia,501.0,44.91,62964,0,2.6270568729495016,-0.11888965536918991,-1.2789451667772365,0.09496529131751758,-1.5481276555346568,1.794
Manchester Center,Bennington,392.0,41.33,68558,0,1.9381215423773142,-0.426811010525539,-0.5550410438314289,0.09802913365802915,-1.0893361593923403,0.941
Marlboro,Windham,89.0,31.46,65473,0,0.8115184040224026,-1.3974081680641002,-1.5785953764766625,-0.7951765766204462,-0.3459768539300005,0.626
Middlebury,Addison,1430.0,21.26,85870,0,-3.7923827625057074,4.039475967303581,1.1949834339468475,-0.2468829710844122,0.2654034399678411,-2.295
Middlesex,Washington,121.0,16.53,77278,0,-2.681297910743767,-1.5628640533576141,0.09955601913191107,-0.35606969151433904,0.43709623816746873,-1.663
Middletown Springs,Rutland,73.0,36.99,62641,0,1.5118529618807504,-1.1947848489642114,-0.7510910296672622,-0.6730332646304974,0.1453877756989622,1.305
Milton,Chittenden,1459.0,25.98,89494,0,-3.3121648606458263,3.418821188082285,1.0702548723542153,0.3165862931635528,-1.535085899229051,-2.381
Monkton,Addison,125.0,20.8,85870,0,-2.855498464711127,-1.2117329284111007,2.2587180751321974,0.05403621789196303,0.8582876830718099,-2.326
Montgomery Center,Franklin,151.0,37.09,73633,0,0.8265522772824573,-0.8876940722819006,0.7269057428676302,-0.16973420466363887,-0.056044558820756804,0.102
Montpelier,Washington,1885.0,20.11,77278,0,-3.2190362879458134,4.42034500360214,-0.8905046236793545,0.34379008782070947,-0.710072814426047,-1.425
Moretown,Washington,721.0,20.53,77278,0,-2.4092947793840183,1.3196598658941667,-0.471225645120546,0.6460699309616109,0.6245708686619575,-1.397
Morrisville,Lamoille,795.0,28.05,69886,0,-1.2422495269499247,3.0106453421474058,-0.3470921755817408,0.12209223264255831,1.3074255056276616,-0.086
Mount Holly,Rutland,105.0,29.52,62641,0,0.3625048059534281,-1.396569744133892,-1.2533631386419384,-0.6730710792355505,0.18599559391778087,0.81
New Haven,Addison,78.0,16.67,85870,0,-3.4456417434688427,-1.451655170635236,2.005952016176264,-0.09784927797791405,1.0487633934745477,-2.599
Newark,Caledonia,69.0,24.64,62964,0,-0.04013146412749929,-1.735863733407261,-2.234927569872862,-0.9601928351534162,0.03814529669774544,0.45
Newbury,Orange,96.0,37.5,74534,0,0.5974385731221397,-0.8976730537412507,1.2771580292903018,-0.28133824962068255,0.359465401572668,0.03
Newfane,Windham,101.0,25.74,65473,0,-0.06936288873611608,-1.5751619113182704,-1.9735763748381316,-0.8353999642776765,-0.2903340008231163,0.247
Newport,Orleans,994.0,58.75,63981,0,4.554740528827813,3.8813296806036353,-0.5841217234019521,1.7629066054197644,1.526584518143358,2.6
Newport Center,Orleans,128.0,58.59,63981,0,4.843059924733973,-0.382852452758013,0.7055295913523291,-0.32049511356311733,-0.143800487162175,2.589
North Clarendon,Rutland,532.0,33.08,62641,0,0.7267313567259441,1.5295114877996105,-1.7671748009443657,0.45805922756966044,1.1727671748451443,1.046
North Hero,Grand Isle,50.0,54.0,86639,0,2.148185367663551,-0.16740010697683783,4.335301710465335,0.10953280686490818,0.39521971366648384,-0.209
North Troy,Orleans,187.0,75.4,63981,0,7.344300838978093,0.32968557628235823,1.795998130375666,-0.004808926145975354,-0.5693250752456718,3.704
Northfield,Washington,525.0,20.95,77278,0,-2.418842182661839,0.227945537522036,-0.17227077697166904,-0.051334059107865586,-0.17302560465565495,-1.37
Norwich,Windsor,351.0,6.55,69492,0,-3.994135653051543,-1.5557973526703335,-1.0192777644974285,0.04449803617500904,0.5820232646873186,-1.467
Orford,Windsor,234.0,30.34,69492,0,-0.32600702088021133,-0.7349201359547723,0.5499698139561339,0.8105240806575996,0.6239491135102272,0.11
Orleans,Orleans,517.0,47.78,63981,0,3.269042420520147,3.345582048675938,-1.2162527955988207,1.5261601637517581,3.2556351382052258,1.872
Orwell,Addison,140.0,30.0,85870,0,-1.5224454012316773,-0.8395514170322242,2.764069326558244,0.1108691312574161,0.6119292143773055,-1.716
Peacham,Caledonia,66.0,16.67,62964,0,-1.2094000103347142,-2.033647622151701,-2.6976541645219005,-1.0031843798217062,0.21166661148307833,-0.078
Pittsford,Rutland,180.0,35.56,62641,0,1.1484624042077223,-1.0049300945222,-1.0436264270945985,-0.5586403993856638,-0.20450696929528211,1.21
