town,county,total_enrollment,weighted_frpl_rate,county_median_income,low_confidence_flag,PC1,PC2,PC3,PC4,PC5,hardship_score
Thetford,Orange,208.0,13.46,74534,0,-3.1081566220165775,-1.5254320786656144,-0.3523346434637153,-0.26946806389277617,0.45860224650262915,-1.564
Tinmouth,Rutland,70.0,54.29,62641,0,4.210705695166889,-0.6172031637161605,0.5644901956670675,-0.3674578815097389,-0.025700132091798004,2.452
Townshend,Windham,347.0,18.73,65473,0,-1.2532994334741259,0.3922779162150872,-3.0072848159122887,-0.24119606442232758,0.627970422910452,-0.218
Tunbridge,Orange,149.0,27.52,74534,0,-0.9542352471216846,-1.14323739419886,0.5825040431897217,-0.2727666299639658,0.3749646862995705,-0.632
Underhill Center,Chittenden,200.0,8.0,89494,0,-5.196242901165747,-1.353580530744539,0.6993006370389895,-0.2720177216400306,-0.328112474980354,-3.573
Vergennes,Addison,695.0,30.65,85870,0,-1.7848463800286283,1.0594718972234234,2.3809026827282658,0.7274153014503448,0.07940357509317202,-1.672
Vernon,Windham,185.0,31.89,65473,0,0.7408789130231945,-1.16655000700886,-1.7317865873007987,-0.6769483250835584,-0.6891401374429921,0.655
Waitsfield,Washington,168.0,29.76,77278,0,-0.8028981752056663,-0.9673186615014395,0.7666879425179384,-0.2540753055221932,-0.014481823059806704,-0.785
Walden,Caledonia,74.0,37.84,62964,0,1.9399051343855744,-1.2547217281121295,-1.3868521445542061,-0.8275241366149656,-0.20253775201130372,1.325
Wallingford,Rutland,122.0,66.39,62641,0,5.933457995467507,-0.06018653272808398,1.1985687673793384,-0.23123779938162775,-0.44481737504146335,3.254
Wardsboro,Windham,49.0,28.57,65473,1,0.4915696188020693,-1.6110534559479845,-1.5690547824684649,-0.7765388145759486,-0.0841774637275615,0.435
Warren,Washington,142.0,19.01,77278,0,-2.3730798028291833,-1.4141309850146122,0.14545163362360822,-0.3657946288207659,0.27609731591499614,-1.498
Washington,Orange,118.0,37.29,74534,0,0.4625382664092288,-0.8300744852731824,1.0720596029765812,-0.37269972452525063,0.19636133043070433,0.016
Waterbury,Washington,400.0,25.0,77278,0,-1.6936661792871632,-0.669000889020788,0.33480789209875156,0.21788267674742404,-0.5582785604464129,-1.101
Waterford,Caledonia,154.0,18.18,62964,0,-0.9974490762392826,-1.8200106714843545,-2.542018301324237,-0.712411794450554,0.011264950510496145,0.022
Waterville,Lamoille,81.0,38.27,69886,0,0.8487763630667197,-0.9302636085721856,1.156436982054623,-0.3451620590110067,0.7165438008447869,0.592
Wells,Rutland,84.0,38.1,62641,0,1.6740044247852182,-1.134493062674941,-0.6774980247232193,-0.632056833339272,0.10159414431443899,1.379
Wells River,Orange,411.0,44.53,74534,0,1.4873567855631797,-0.7164213780406851,1.0314893636361218,4.666428244127047,-1.5126094936916925,0.496
West Burke,Caledonia,189.0,24.87,62964,0,-0.10902033224042637,-1.4785706742394649,-2.317277357859612,-0.7174379817963035,-0.3104273407653276,0.465
West Charleston,Orleans,117.0,56.41,63981,0,4.648403562850235,-0.5269327057042734,0.8290434289059997,-0.16632266550411862,0.07763187633024349,2.445
West Fairlee,Orange,77.0,44.16,74534,0,1.7087730848043183,-0.7310380385225224,1.9125987380539264,-0.1120879456470861,0.41225566860854335,0.471
West Halifax,Windham,62.0,50.0,65473,0,3.8575903332895383,-0.8747455338037975,0.1259020445485776,-0.30347541667867356,-0.29658512898574596,1.856
West Pawlet,Rutland,138.0,43.48,62641,0,2.458666106459424,-0.8385824459881082,-0.3269698663718656,-0.4376497927428069,-0.11768816489746856,1.735
West Rutland,Rutland,326.0,30.98,62641,0,0.5318545379738139,-1.6185865181621393,-1.716002750933824,4.084040843809114,-1.2830154923972676,0.906
Westford,Chittenden,201.0,13.43,89494,0,-4.347659385850689,-1.1699989109392415,1.1187457148821665,-0.16570070152115138,-0.382186446450026,-3.213
White River Junction,Windsor,1256.0,29.78,69492,0,-0.9789159370288166,4.674693136161638,-0.5525904785742802,-0.18415000722323965,1.3651631019560035,0.073
Whiting,Addison,96.0,42.71,85870,0,0.27166953480115114,-0.422788175867911,3.299537515964176,-0.10614311999693299,0.3287073753606869,-0.873
