town,county,cluster,cluster_name,weighted_frpl_rate,total_enrollment,county_median_income,anomaly,anomaly_score,PC1,PC2
Peacham,Caledonia,2,Elevated Hardship - Small Towns,16.67,66.0,62964,0,0.09660982348734076,-1.2094000103347142,-2.033647622151701
Barnard,Windsor,5,Low Hardship - Affluent Areas,9.72,72.0,69492,0,0.0977185408525102,-3.2526791241307595,-2.02787122134994
Stowe,Lamoille,5,Low Hardship - Affluent Areas,7.72,790.0,69886,0,0.0986078761367053,-4.272450427130371,1.0036157141858346
North Clarendon,Rutland,2,Elevated Hardship - Small Towns,33.08,532.0,62641,0,0.09899535192356729,0.7267313567259441,1.5295114877996103
Townshend,Windham,2,Elevated Hardship - Small Towns,18.73,347.0,65473,0,0.099049024829509,-1.253299433474126,0.3922779162150872
Reading,Windsor,5,Low Hardship - Affluent Areas,11.76,34.0,69492,0,0.10107101884649966,-3.001597240870133,-2.0010827904194635
Pownal,Bennington,1,High Hardship - Rural Poor,59.04,271.0,68558,0,0.10345939276217442,4.62085365587802,-0.015116283987875
Fairfax,Franklin,5,Low Hardship - Affluent Areas,14.92,1039.0,73633,0,0.1052164140732148,-3.055460250715031,0.5656689312764083
Lincoln,Addison,5,Low Hardship - Affluent Areas,24.29,70.0,85870,0,0.10819654216885549,-2.243347370981658,-1.214106217389036
Killington,Rutland,2,Elevated Hardship - Small Towns,12.61,111.0,62641,0,0.10936538163777182,-2.190112971064897,-1.9857318407856743
Lyndonville,Caledonia,1,High Hardship - Rural Poor,44.91,501.0,62964,0,0.11004456080786507,2.6270568729495016,-0.1188896553691899
Brownsville,Windsor,5,Low Hardship - Affluent Areas,11.11,63.0,69492,0,0.11011708215100557,-3.0975301498665293,-1.9752105314284112
Whiting,Addison,3,Moderate - Mixed Profile,42.71,96.0,85870,0,0.11079141253053232,0.2716695348011511,-0.422788175867911
Jeffersonville,Chittenden,5,Low Hardship - Affluent Areas,21.13,336.0,89494,0,0.11128182051133073,-3.3167840041609704,-0.6137554182278779
Cornwall,Addison,5,Low Hardship - Affluent Areas,12.9,93.0,85870,0,0.11286431174850525,-4.106981915404113,-1.527212160830905
East Dummerston,Windham,2,Elevated Hardship - Small Towns,14.81,162.0,65473,0,0.11378461960420017,-1.7677022461600789,-1.8378660000306135
Moretown,Washington,5,Low Hardship - Affluent Areas,20.53,721.0,77278,0,0.11483788325528804,-2.4092947793840183,1.3196598658941667
New Haven,Addison,5,Low Hardship - Affluent Areas,16.67,78.0,85870,0,0.1149755010487794,-3.4456417434688427,-1.451655170635236
Bridport,Addison,5,Low Hardship - Affluent Areas,28.57,63.0,85870,0,0.11688651525561888,-1.6535131309611637,-1.0543414031254004
Derby Line,Orleans,1,High Hardship - Rural Poor,46.77,496.0,63981,0,0.11709838280324586,2.9116474486803496,-0.1028496387299044
Orwell,Addison,3,Moderate - Mixed Profile,30.0,140.0,85870,0,0.11928308293777007,-1.5224454012316773,-0.8395514170322242
East Dover,Windham,2,Elevated Hardship - Small Towns,23.33,90.0,65473,0,0.12207961126200001,-0.4869960543394673,-1.6609437801467255
Fayston,Washington,5,Low Hardship - Affluent Areas,10.1,99.0,77278,0,0.12264650167383057,-3.692177742002481,-1.814639869073307
Shoreham,Addison,5,Low Hardship - Affluent Areas,23.68,76.0,85870,0,0.12283863805724504,-2.4079992882332126,-1.1996856485648977
Ripton,Addison,5,Low Hardship - Affluent Areas,23.91,46.0,85870,0,0.12303244015703613,-2.3731162638748704,-1.244954228810537
Monkton,Addison,5,Low Hardship - Affluent Areas,20.8,125.0,85870,0,0.12375068376391507,-2.855498464711127,-1.2117329284111007
Woodstock,Windsor,5,Low Hardship - Affluent Areas,9.47,718.0,69492,0,0.1243903904730701,-3.7641879095140736,-0.1249420973892412
Jamaica,Windham,2,Elevated Hardship - Small Towns,30.77,26.0,65473,0,0.1245927927457508,0.6587182886560746,-1.515741712830918
Hyde Park,Lamoille,3,Moderate - Mixed Profile,31.63,939.0,69886,0,0.1263633605531143,-0.7149252421697406,2.4496653511373583
South Hero,Grand Isle,5,Low Hardship - Affluent Areas,12.77,141.0,86639,0,0.12636944073996798,-4.146922723067805,-1.4440054725894087
Ferrisburgh,Addison,5,Low Hardship - Affluent Areas,15.57,244.0,85870,0,0.12657347441974387,-3.78770826661552,-1.136804635294292
Coventry,Orleans,1,High Hardship - Rural Poor,61.48,122.0,63981,0,0.12700592301009567,5.360849561231781,-0.3192115354282717
Cambridge,Lamoille,5,Low Hardship - Affluent Areas,14.17,120.0,69886,0,0.12713993501377252,-2.7096003977410343,-1.744306434331398
Norwich,Windsor,5,Low Hardship - Affluent Areas,6.55,351.0,69492,0,0.128498087749492,-3.994135653051543,-1.5557973526703337
Newark,Caledonia,2,Elevated Hardship - Small Towns,24.64,69.0,62964,0,0.12956971958831154,-0.0401314641274992,-1.735863733407261
Greensboro,Orleans,2,Elevated Hardship - Small Towns,24.39,41.0,63981,0,0.12973752196483873,-0.2503963862638207,-1.772910087498274
Brownington,Orleans,1,High Hardship - Rural Poor,60.75,107.0,63981,0,0.1309198867673695,5.262034651644116,-0.3773586503064167
Guilford,Windham,2,Elevated Hardship - Small Towns,22.7,141.0,65473,0,0.13095801949370844,-0.5947727473848494,-1.5884025550966872
Rutland Town,Rutland,2,Elevated Hardship - Small Towns,11.39,360.0,62641,0,0.132019120590754,-2.529488275911929,-1.535937998665368
Westford,Chittenden,5,Low Hardship - Affluent Areas,13.43,201.0,89494,0,0.1321578606002956,-4.347659385850689,-1.1699989109392417
Arlington,Bennington,2,Elevated Hardship - Small Towns,33.95,489.0,68558,0,0.13281046410422803,0.7070807611781705,1.201209013699147
Waterford,Caledonia,2,Elevated Hardship - Small Towns,18.18,154.0,62964,0,0.1346104453425654,-0.9974490762392826,-1.8200106714843545
Starksboro,Addison,5,Low Hardship - Affluent Areas,29.25,106.0,85870,0,0.13474180866242808,-1.7222582197069694,-0.8968079605395217
Newport Center,Orleans,1,High Hardship - Rural Poor,58.59,128.0,63981,0,0.1349506643295032,4.843059924733973,-0.382852452758013
Huntington,Chittenden,5,Low Hardship - Affluent Areas,12.93,116.0,89494,0,0.1353043923074106,-4.326969780009068,-1.371004048607132
Saxtons River,Windham,1,High Hardship - Rural Poor,47.37,76.0,65473,0,0.13539483696796495,3.1461304007738495,-0.8327631925257911
Lake Elmore,Lamoille,3,Moderate - Mixed Profile,29.41,17.0,69886,0,0.1354245085355747,-0.3663239097162486,-1.4011105834149475
Hardwick,Caledonia,2,Elevated Hardship - Small Towns,31.18,542.0,62964,0,0.13651015394215282,0.6012919454069772,0.5525844972199078
Londonderry,Windham,2,Elevated Hardship - Small Towns,26.62,308.0,65473,0,0.13723941383819904,-0.0403990134090978,-1.1429037639454342
Danby,Rutland,1,High Hardship - Rural Poor,48.68,76.0,62641,0,0.1374481369316446,3.1756071925142404,-0.7391912894688558
Randolph,Orange,3,Moderate - Mixed Profile,28.1,701.0,74534,0,0.13779301481091338,-1.1778969948153086,1.027429015401088
Enosburg Falls,Franklin,3,Moderate - Mixed Profile,48.04,612.0,73633,0,0.13781621901560542,2.124938601071111,1.25100682982886
Duxbury,Washington,5,Low Hardship - Affluent Areas,14.24,288.0,77278,0,0.1378506925627626,-3.3241391241881844,-0.9929065364746008
Albany,Orleans,1,High Hardship - Rural Poor,57.58,99.0,63981,0,0.13791072678498123,4.890662375935646,-0.5395718960998024
Vernon,Windham,2,Elevated Hardship - Small Towns,31.89,185.0,65473,0,0.13805720891804513,0.7408789130231945,-1.16655000700886
Orford,Windsor,3,Moderate - Mixed Profile,30.34,234.0,69492,0,0.13819069117619864,-0.3260070208802113,-0.7349201359547723
Bolton,Chittenden,5,Low Hardship - Affluent Areas,20.73,82.0,89494,0,0.1382866661564438,-3.1984268096974886,-1.1371028135115688
West Burke,Caledonia,2,Elevated Hardship - Small Towns,24.87,189.0,62964,0,0.1394464799858649,-0.1090203322404263,-1.4785706742394649
Chittenden,Rutland,2,Elevated Hardship - Small Towns,17.2,186.0,62641,0,0.1398460077421813,-1.56545424659024,-1.6666944840860245
Irasburg,Orleans,1,High Hardship - Rural Poor,53.72,121.0,63981,0,0.14027375852340718,4.16994477809233,-0.5904275396263498
Manchester Center,Bennington,1,High Hardship - Rural Poor,41.33,392.0,68558,0,0.14064656858066205,1.9381215423773144,-0.426811010525539
Newfane,Windham,2,Elevated Hardship - Small Towns,25.74,101.0,65473,0,0.14270719798958442,-0.069362888736116,-1.5751619113182704
Tinmouth,Rutland,1,High Hardship - Rural Poor,54.29,70.0,62641,0,0.1437526281134951,4.210705695166889,-0.6172031637161605
West Charleston,Orleans,1,High Hardship - Rural Poor,56.41,117.0,63981,0,0.14436437772505029,4.648403562850235,-0.5269327057042734
West Halifax,Windham,1,High Hardship - Rural Poor,50.0,62.0,65473,0,0.14450040494452565,3.8575903332895383,-0.8747455338037975
Barton,Orleans,1,High Hardship - Rural Poor,57.41,162.0,63981,0,0.14588960415123686,4.655967657623328,-0.3622349064490273
Chester,Windsor,3,Moderate - Mixed Profile,45.81,596.0,69492,0,0.1460278116161573,1.6910082386178993,1.2881198736928523
Poultney,Rutland,2,Elevated Hardship - Small Towns,34.6,500.0,62641,0,0.1463131641667404,0.8859339316998445,0.9207406283098616
South Royalton,Windsor,3,Moderate - Mixed Profile,43.26,356.0,69492,0,0.1467434989889529,1.4962900454210704,0.6507599658084381
Grafton,Windham,1,High Hardship - Rural Poor,45.65,46.0,65473,0,0.14744159713418786,2.9941909210694453,-0.9836626231048374
Johnson,Lamoille,3,Moderate - Mixed Profile,49.31,217.0,69886,0,0.14799624915329213,2.4355989224488366,-0.2726718772214339
Woodbury,Washington,5,Low Hardship - Affluent Areas,18.18,55.0,77278,0,0.14829236459953354,-2.482507778801423,-1.6013326388869251
Northfield,Washington,5,Low Hardship - Affluent Areas,20.95,525.0,77278,0,0.14942083498300712,-2.418842182661839,0.227945537522036
Sheffield,Caledonia,1,High Hardship - Rural Poor,44.85,136.0,62964,0,0.14943297535503264,2.8766403832917025,-0.8519104688348523
Marlboro,Windham,2,Elevated Hardship - Small Towns,31.46,89.0,65473,0,0.1503323981775893,0.8115184040224026,-1.3974081680641002
Wolcott,Lamoille,5,Low Hardship - Affluent Areas,20.66,121.0,69886,0,0.15056600802412046,-1.800169567979962,-1.4876010377923583
Whitingham,Windham,2,Elevated Hardship - Small Towns,38.34,193.0,65473,0,0.15098446793841225,1.7619651995832808,-0.729495044588876
Grand Isle,Grand Isle,5,Low Hardship - Affluent Areas,22.86,140.0,86639,0,0.15145468151466995,-2.6776448489202216,-1.0687911746632983
Eden,Lamoille,3,Moderate - Mixed Profile,50.39,127.0,69886,0,0.15198332692656513,2.645875304266459,-0.4088317473474702
Waterbury,Washington,5,Low Hardship - Affluent Areas,25.0,400.0,77278,0,0.15233981302100058,-1.6936661792871632,-0.669000889020788
Jay,Orleans,1,High Hardship - Rural Poor,42.5,80.0,63981,0,0.15261707553086828,2.587560142924657,-1.0989153636066826
Wardsboro,Windham,2,Elevated Hardship - Small Towns,28.57,49.0,65473,0,0.1527598276602264,0.4915696188020693,-1.6110534559479843
Sutton,Caledonia,1,High Hardship - Rural Poor,42.48,113.0,62964,0,0.1539975483240083,2.55441222274221,-0.9897838205931184
Bradford,Orange,3,Moderate - Mixed Profile,34.3,589.0,74534,0,0.15407450195108058,-0.1745239620806928,0.773734647159986
Walden,Caledonia,2,Elevated Hardship - Small Towns,37.84,74.0,62964,0,0.15532045482564383,1.9399051343855744,-1.2547217281121297
