school_name,lea_name,town,enrollment,free_lunch,reduced_price_lunch,free_or_reduced_price_lunch,school_level,frl_pct
Berlin Elementary School,Washington Central Unified Union School District #92,Berlin,194.0,56.0,13.0,69.0,1,35.6
Bethel Elementary School,White River Unified School District #79,Bethel,135.0,50.0,6.0,56.0,1,41.5
White River Valley Middle School,White River Unified School District #79,Bethel,134.0,68.0,9.0,77.0,2,57.5
Smilie Memorial Elementary School,Mount Mansfield Unified Union School District #401,Bolton,82.0,14.0,3.0,17.0,1,20.7
Oxbow Union High School,Oxbow Unified Union School District #91,Bradford,355.0,91.0,34.0,125.0,3,35.2
Bradford Elementary School,Oxbow Unified Union School District #91,Bradford,234.0,51.0,26.0,77.0,1,32.9
River Bend Career & Technical Center,Oxbow Unified Union School District #91,Bradford,0.0,,,,3,
Braintree School,Orange Southwest Unified Union School District #59,Braintree,81.0,31.0,5.0,36.0,1,44.4
Otter Valley Union High School,Otter Valley Unified Union School District #53,Brandon,526.0,247.0,0.0,247.0,3,47.0
Neshobe School,Otter Valley Unified Union School District #53,Brandon,440.0,150.0,1.0,151.0,1,34.3
Green Street School,Windham Southeast Unified Union School District #96,Brattleboro,243.0,114.0,31.0,145.0,1,59.7
Oak Grove School,Windham Southeast Unified Union School District #96,Brattleboro,144.0,79.0,15.0,94.0,1,65.3
Brattleboro Union High School,Windham Southeast Unified Union School District #96,Brattleboro,757.0,196.0,13.0,209.0,3,27.6
Brattleboro Area Middle School,Windham Southeast Unified Union School District #96,Brattleboro,262.0,96.0,3.0,99.0,2,37.8
Academy School,Windham Southeast Unified Union School District #96,Brattleboro,448.0,194.0,44.0,238.0,1,53.1
Windham Regional Career Center,Windham Southeast Unified Union School District #96,Brattleboro,0.0,,,,3,
Bridport Central School,Addison Central Unified Union School District #55,Bridport,63.0,12.0,6.0,18.0,1,28.6
Mt. Abraham Union High School,Mt. Abraham Unified School District #61,Bristol,621.0,103.0,28.0,131.0,3,21.1
Bristol Elementary School,Mt. Abraham Unified School District #61,Bristol,411.0,63.0,17.0,80.0,1,19.5
Brookfield School,Orange Southwest Unified Union School District #59,Brookfield,71.0,12.0,3.0,15.0,1,21.1
Brownington Central School,Lake Region Union Elementary Middle School District,Brownington,107.0,50.0,15.0,65.0,1,60.7
Albert Bridge School (West Windsor),Mount Ascutney School District #86,Brownsville,63.0,6.0,1.0,7.0,1,11.1
Burlington Technical Center,Burlington School District,Burlington,0.0,,,,3,
Integrated Arts Academy at H. O. Wheeler,Burlington School District,Burlington,248.0,119.0,25.0,144.0,1,58.1
Edmunds Elementary School,Burlington School District,Burlington,228.0,107.0,14.0,121.0,1,53.1
Lyman C. Hunt Middle School,Burlington School District,Burlington,337.0,141.0,25.0,166.0,2,49.3
Edmunds Middle School,Burlington School District,Burlington,365.0,150.0,31.0,181.0,2,49.6
Champlain School,Burlington School District,Burlington,548.0,157.0,44.0,201.0,1,36.7
C. P. Smith School,Burlington School District,Burlington,242.0,64.0,26.0,90.0,1,37.2
Burlington High School,Burlington School District,Burlington,987.0,382.0,89.0,471.0,3,47.7
Sustainability Academy at Lawrence Barnes,Burlington School District,Burlington,191.0,102.0,23.0,125.0,1,65.4
J. J. Flynn School,Burlington School District,Burlington,327.0,132.0,46.0,178.0,1,54.4
Cabot School,Cabot School District,Cabot,164.0,53.0,16.0,69.0,4,42.1
Fletcher Elementary School,Fletcher School District,Cambridge,120.0,12.0,5.0,17.0,1,14.2
Canaan Schools,Canaan School District,Canaan,169.0,40.0,13.0,53.0,4,31.4
Castleton Elementary School,Slate Valley Unified Union School District #62,Castleton,251.0,63.0,21.0,84.0,1,33.5
Charlotte Central School,Champlain Valley Unified Union School District #56,Charlotte,707.0,19.0,9.0,28.0,1,4.0
First Branch Middle School,First Branch Unified School District #82,Chelsea,94.0,28.0,7.0,35.0,2,37.2
Chester Andover Elementary School,Green Mountain Unified School District #77,Chester,270.0,105.0,13.0,118.0,1,43.7
Green Mountain Union High School,Green Mountain Unified School District #77,Chester,326.0,137.0,18.0,155.0,3,47.5
Barstow Memorial School,Barstow Unified Union School District #49,Chittenden,186.0,32.0,0.0,32.0,1,17.2
Porters Point School,Colchester School District,Colchester,482.0,65.0,8.0,73.0,1,15.1
Malletts Bay School,Colchester School District,Colchester,483.0,113.0,26.0,139.0,1,28.8
Union Memorial School,Colchester School District,Colchester,231.0,52.0,11.0,63.0,1,27.3
Colchester Middle School,Colchester School District,Colchester,497.0,108.0,26.0,134.0,2,27.0
Colchester High School,Colchester School District,Colchester,721.0,125.0,32.0,157.0,3,21.8
Concord Graded/Middle School,Kingdom East Unified Union School District #64,Concord,156.0,78.0,0.0,78.0,1,50.0
Bingham Memorial School,Addison Central Unified Union School District #55,Cornwall,93.0,11.0,1.0,12.0,1,12.9
Coventry Village School,Coventry School District,Coventry,122.0,58.0,17.0,75.0,1,61.5
Craftsbury Schools,Craftsbury Town School District,Craftsbury Common,207.0,27.0,0.0,27.0,4,13.0
Shrewsbury Mountain School,Mill River Unified Union School District #52,Cuttingsville,74.0,15.0,11.0,26.0,1,35.1
