town,county,cluster,cluster_name,weighted_frpl_rate,total_enrollment,county_median_income,hardship_score,PC1,PC2,PC3,PC4,PC5
Benson,Rutland,2,Elevated Hardship - Small Towns,10.67,75.0,62641,-0.44,-2.4300775113299644,-2.1352717465787494,-2.4171971107327,-0.8868645425270909,0.6117223560976495
East Dummerston,Windham,2,Elevated Hardship - Small Towns,14.81,162.0,65473,-0.478,-1.7677022461600789,-1.8378660000306135,-2.7327758395553516,-0.8176813878145798,-0.2803524910798453
Windham,Windham,2,Elevated Hardship - Small Towns,13.64,22.0,65473,-0.555,-1.8682548876804752,-2.1528756143274763,-2.7922210869654,-1.1847603958184574,0.0828455796888609
Eden,Lamoille,3,Moderate - Mixed Profile,50.39,127.0,69886,1.395,2.645875304266459,-0.4088317473474702,1.9349946373374447,-0.1141230089990442,0.3972301598308186
Bethel,Windsor,3,Moderate - Mixed Profile,49.44,269.0,69492,1.376,2.3518602931552657,2.6382646439487947,0.9360562395916744,0.214087306280602,2.1718094861010377
Johnson,Lamoille,3,Moderate - Mixed Profile,49.31,217.0,69886,1.324,2.4355989224488366,-0.2726718772214339,1.8577282189763031,0.1074627469274323,0.1974567195566129
Chester,Windsor,3,Moderate - Mixed Profile,45.81,596.0,69492,1.136,1.6910082386178993,1.2881198736928523,1.0937253016311252,0.419294713105505,0.1930431851007464
Rochester,Windsor,3,Moderate - Mixed Profile,45.24,84.0,69492,1.098,2.0667034318496125,-0.7329732896626348,1.7186948869203618,-0.1140074846505948,0.698286974704593
Ludlow,Windsor,3,Moderate - Mixed Profile,43.68,87.0,69492,0.995,1.6849140787861303,-0.7299519129106988,1.3124719476399855,-0.3563506320832663,0.5345569406430009
South Royalton,Windsor,3,Moderate - Mixed Profile,43.26,356.0,69492,0.967,1.4962900454210704,0.6507599658084381,1.234657969540807,0.1484832638476524,0.454765271512172
Enosburg Falls,Franklin,3,Moderate - Mixed Profile,48.04,612.0,73633,0.828,2.124938601071111,1.25100682982886,0.9724093617270184,0.3640654790789643,-0.6617161412557518
Proctorsville,Windsor,3,Moderate - Mixed Profile,38.1,84.0,69492,0.625,0.9647802005017828,-0.9765876558814488,1.1961592765809148,-0.2281793539583593,0.7833471443527716
Sharon,Windsor,3,Moderate - Mixed Profile,37.65,170.0,69492,0.595,0.8258251796471532,-0.8176614974323055,1.109708984415393,-0.0492812820828723,0.5530123524302512
Waterville,Lamoille,3,Moderate - Mixed Profile,38.27,81.0,69886,0.592,0.8487763630667197,-0.9302636085721856,1.156436982054623,-0.3451620590110067,0.7165438008447869
Wells River,Orange,3,Moderate - Mixed Profile,44.53,411.0,74534,0.496,1.4873567855631795,-0.7164213780406851,1.0314893636361218,4.666428244127047,-1.5126094936916925
Braintree,Orange,3,Moderate - Mixed Profile,44.44,81.0,74534,0.49,1.628828741873742,-0.6733520654301791,1.687992856615559,-0.2845173190892783,0.2545996269663215
Franklin,Franklin,3,Moderate - Mixed Profile,42.86,140.0,73633,0.484,1.7006984853998794,-0.702684635899835,1.1000351479518145,-0.1451197126823835,-0.1291078006320138
West Fairlee,Orange,3,Moderate - Mixed Profile,44.16,77.0,74534,0.471,1.7087730848043183,-0.7310380385225224,1.9125987380539264,-0.1120879456470861,0.4122556686085433
Stockbridge,Windsor,3,Moderate - Mixed Profile,35.56,45.0,69492,0.456,0.5011551315188864,-1.106145394034751,0.8219779228019493,-0.5167252845891418,0.7936042595552016
Windsor,Windsor,3,Moderate - Mixed Profile,33.28,580.0,69492,0.305,-0.0482316346995179,-0.8560680418024218,0.1145621792682762,5.03141959311641,-1.3591197539013926
Williamstown,Orange,3,Moderate - Mixed Profile,40.23,522.0,74534,0.211,0.596404315635405,0.8961579779543617,0.8966879522018079,0.0844383259749112,-0.2486721822155434
Sheldon,Franklin,3,Moderate - Mixed Profile,38.51,335.0,73633,0.196,0.9124489383069936,-0.4693226274683593,0.7419344452116455,0.2696892090795328,-0.5634751105484299
Hartland,Windsor,3,Moderate - Mixed Profile,31.32,281.0,69492,0.175,-0.1122021427552691,-0.8523266214325383,0.8393078688329181,0.2903953735982107,0.4794917687197921
Swanton,Franklin,3,Moderate - Mixed Profile,38.07,1400.0,73633,0.167,0.3144803384189081,1.9593656880901489,0.1606126344259667,1.2608957080924512,-1.5952804510476812
Hyde Park,Lamoille,3,Moderate - Mixed Profile,31.63,939.0,69886,0.152,-0.7149252421697406,2.4496653511373583,0.2770249253320665,-0.0923825870355809,0.0490877187247401
Orford,Windsor,3,Moderate - Mixed Profile,30.34,234.0,69492,0.11,-0.3260070208802113,-0.7349201359547723,0.5499698139561339,0.8105240806575996,0.6239491135102272
Montgomery Center,Franklin,3,Moderate - Mixed Profile,37.09,151.0,73633,0.102,0.8265522772824573,-0.8876940722819006,0.7269057428676302,-0.1697342046636388,-0.0560445588207568
East Corinth,Orange,3,Moderate - Mixed Profile,38.02,263.0,74534,0.064,0.5414486949857058,-0.5391066870352844,1.2038061586206263,0.0816644473735614,-0.1101068575716659
Bakersfield,Franklin,3,Moderate - Mixed Profile,36.11,144.0,73633,0.037,0.6950053867056455,-0.9408825239442968,0.6901607415601886,-0.1767146387857477,-0.0065395561399687
Cabot,Washington,3,Moderate - Mixed Profile,42.07,164.0,77278,0.031,1.1970558357871235,-1.2687273440890188,1.19136110588614,4.155007918839878,-1.0222904800968358
Newbury,Orange,3,Moderate - Mixed Profile,37.5,96.0,74534,0.03,0.5974385731221397,-0.8976730537412507,1.2771580292903018,-0.2813382496206825,0.359465401572668
Washington,Orange,3,Moderate - Mixed Profile,37.29,118.0,74534,0.016,0.4625382664092288,-0.8300744852731824,1.0720596029765812,-0.3726997245252506,0.1963613304307043
Chelsea,Orange,3,Moderate - Mixed Profile,37.23,94.0,74534,0.012,0.4579440012074319,-0.6231078713347762,1.3893523318925949,-0.268893131698438,-0.1848306249843989
Lake Elmore,Lamoille,3,Moderate - Mixed Profile,29.41,17.0,69886,0.004,-0.3663239097162486,-1.4011105834149475,0.7648619393831908,-0.4568310351292349,1.1291267695462626
Ascutney,Windsor,3,Moderate - Mixed Profile,28.63,262.0,69492,-0.003,-0.5312301243882306,-0.9767910094661902,0.6168284229561384,0.1779311722561223,0.5418870692655463
Winooski,Chittenden,3,Moderate - Mixed Profile,60.1,787.0,89494,-0.119,2.058835969667613,4.325986797437853,3.0679902812960633,0.0325195776664861,-1.1569235495313417
Bradford,Orange,3,Moderate - Mixed Profile,34.3,589.0,74534,-0.182,-0.1745239620806928,0.773734647159986,0.7992590439962394,0.386208734277411,0.0178138646899636
North Hero,Grand Isle,3,Moderate - Mixed Profile,54.0,50.0,86639,-0.209,2.148185367663551,-0.1674001069768378,4.335301710465335,0.1095328068649081,0.3952197136664838
Highgate Center,Franklin,3,Moderate - Mixed Profile,31.87,273.0,73633,-0.245,-0.0729679321554062,-0.8189310505658969,0.2757728824926451,0.0153436966925391,-0.3250404377644294
Berlin,Washington,3,Moderate - Mixed Profile,35.57,194.0,77278,-0.4,0.0795425366012118,-0.7177382160850929,1.1870599856235862,-0.0966597594362411,-0.1488305046312123
East Barre,Washington,3,Moderate - Mixed Profile,35.06,77.0,77278,-0.434,-0.1245606541400381,-0.6431464981473834,1.107119080116646,-0.5257420023808872,-0.52130985314971
Salisbury,Addison,3,Moderate - Mixed Profile,47.69,65.0,85870,-0.543,1.2036785444829337,-0.3632603087734606,3.9665111193117326,0.1237571986295367,0.5226546087633999
Roxbury,Washington,3,Moderate - Mixed Profile,33.33,51.0,77278,-0.549,-0.1639386275871811,-1.08357853462238,1.0956962283080822,-0.4525761061910873,0.2626256707592201
Plainfield,Washington,3,Moderate - Mixed Profile,33.09,414.0,77278,-0.565,-0.4852746126690924,1.9469300412103503,-0.7431492251761159,4.945598560273058,2.4464397978657275
Randolph,Orange,3,Moderate - Mixed Profile,28.1,701.0,74534,-0.593,-1.1778969948153086,1.027429015401088,0.1777119717840728,0.5524705077847234,0.2954104823356586
Tunbridge,Orange,3,Moderate - Mixed Profile,27.52,149.0,74534,-0.632,-0.9542352471216846,-1.14323739419886,0.5825040431897217,-0.2727666299639658,0.3749646862995705
Waitsfield,Washington,3,Moderate - Mixed Profile,29.76,168.0,77278,-0.785,-0.8028981752056663,-0.9673186615014396,0.7666879425179384,-0.2540753055221932,-0.0144818230598067
Whiting,Addison,3,Moderate - Mixed Profile,42.71,96.0,85870,-0.873,0.2716695348011511,-0.422788175867911,3.299537515964176,-0.1061431199969329,0.3287073753606869
Vergennes,Addison,3,Moderate - Mixed Profile,30.65,695.0,85870,-1.672,-1.7848463800286285,1.0594718972234234,2.3809026827282658,0.7274153014503448,0.079403575093172
Orwell,Addison,3,Moderate - Mixed Profile,30.0,140.0,85870,-1.716,-1.5224454012316773,-0.8395514170322242,2.764069326558244,0.1108691312574161,0.6119292143773055
Rutland,Rutland,4,Lower Hardship - Urban Centers,43.8,1959.0,62641,1.757,1.580101155841281,7.255424755462542,-2.1280358719345287,-0.5200427315915387,0.9884869857302466
Bennington,Bennington,4,Lower Hardship - Urban Centers,50.17,2354.0,68558,1.527,2.226408803216587,8.740967975516247,-1.9307241173442136,-1.0003169891688524,0.6225122522467884
Springfield,Windsor,4,Lower Hardship - Urban Centers,50.53,1219.0,69492,1.449,1.997190370476854,4.4190809066877526,1.010345721544271,-0.6039071968467322,-0.2574111963913103
Brattleboro,Windham,4,Lower Hardship - Urban Centers,42.34,1854.0,65473,1.348,1.606801491033912,8.447696844608016,-3.252282463595209,0.110019530285263,2.51072233449651
White River Junction,Windsor,4,Lower Hardship - Urban Centers,29.78,1256.0,69492,0.073,-0.9789159370288166,4.674693136161638,-0.5525904785742802,-0.1841500072232396,1.3651631019560035
Morrisville,Lamoille,4,Lower Hardship - Urban Centers,28.05,795.0,69886,-0.086,-1.2422495269499247,3.0106453421474058,-0.3470921755817408,0.1220922326425583,1.3074255056276616
Saint Albans,Franklin,4,Lower Hardship - Urban Centers,28.72,3029.0,73633,-0.453,-1.17617615496902,8.946275380589235,-2.7295595480667045,2.4164654350751595,3.622781599154417
Burlington,Chittenden,4,Lower Hardship - Urban Centers,48.29,3473.0,89494,-0.902,-0.7480614773189177,12.312313712008574,1.508671083589331,-2.738845374347001,-1.5788292570178144
Barre,Washington,4,Lower Hardship - Urban Centers,26.38,2199.0,77278,-1.01,-2.085910230811466,5.0149211235598745,-1.0280516299699474,1.5437192078595698,0.6128769604765024
Montpelier,Washington,4,Lower Hardship - Urban Centers,20.11,1885.0,77278,-1.425,-3.2190362879458134,4.42034500360214,-0.8905046236793545,0.3437900878207094,-0.710072814426047
Middlebury,Addison,4,Lower Hardship - Urban Centers,21.26,1430.0,85870,-2.295,-3.7923827625057074,4.039475967303581,1.1949834339468477,-0.2468829710844122,0.2654034399678411
