town,county,total_enrollment,num_schools,single_school_town,avg_school_enrollment,enrollment_category,num_elementary,num_middle,num_high,num_combined,weighted_frpl_rate,free_lunch_rate,reduced_lunch_rate,elementary_frpl_rate,middle_frpl_rate,high_frpl_rate,school_frpl_variance,school_frpl_range,min_school_frpl_rate,max_school_frpl_rate,county_poverty_rate,county_median_income,county_snap_rate,frpl_vs_county_poverty,frpl_above_county_avg,county_income_zscore,frpl_zscore,hardship_score,high_frpl_flag,very_high_frpl_flag,low_confidence_flag
East Montpelier,Washington,231.0,1,1,231.0,medium,1,0,0,0,13.42,9.96,3.46,13.41991341991342,,,0.0,0.0,13.4,13.4,9.9,77278,10.3,3.52,1,0.59,-1.279,-1.869,0,0,0
Eden,Lamoille,127.0,1,1,127.0,small,1,0,0,0,50.39,44.88,5.51,50.39370078740157,,,0.0,0.0,50.4,50.4,8.6,69886,8.7,41.79,1,-0.223,1.172,1.395,1,0,0
Enosburg Falls,Franklin,612.0,2,0,306.0,large,1,0,1,0,48.04,36.11,11.93,49.38775510204081,,47.13896457765668,2.64,2.3,47.1,49.4,10.4,73633,11.6,37.64,1,0.189,1.017,0.828,0,0,0
Essex Junction,Chittenden,3541.0,8,0,442.62,very_large,5,2,1,0,16.38,13.02,3.36,16.176470588235293,17.97432239657632,15.728476821192054,19.37,11.7,12.1,23.8,11.2,89494,7.6,5.18,1,1.935,-1.083,-3.018,0,0,0
Fair Haven,Rutland,800.0,2,0,400.0,large,1,0,1,0,30.5,21.38,9.12,39.77272727272727,,25.932835820895523,96.6,13.9,25.9,39.8,11.4,62641,10.6,19.1,1,-1.021,-0.146,0.875,0,0,0
Fairfax,Franklin,1039.0,2,0,519.5,very_large,1,0,1,0,14.92,10.68,4.23,14.423076923076922,,15.66265060240964,0.84,1.3,14.4,15.7,10.4,73633,11.6,4.52,1,0.189,-1.179,-1.368,0,0,0
Fairfield,Franklin,252.0,1,1,252.0,medium,1,0,0,0,17.86,14.29,3.57,17.857142857142858,,,0.0,0.0,17.9,17.9,10.4,73633,11.6,7.46,1,0.189,-0.984,-1.173,0,0,0
Fairlee,Orange,116.0,1,1,116.0,small,1,0,0,0,25.86,19.83,6.03,25.862068965517242,,,0.0,0.0,25.9,25.9,9.2,74534,10.2,16.66,1,0.288,-0.454,-0.742,0,0,0
Fayston,Washington,99.0,1,1,99.0,small,1,0,0,0,10.1,9.09,1.01,10.1010101010101,,,0.0,0.0,10.1,10.1,9.9,77278,10.3,0.2,1,0.59,-1.499,-2.089,0,0,0
Ferrisburgh,Addison,244.0,1,1,244.0,medium,1,0,0,0,15.57,12.3,3.28,15.573770491803279,,,0.0,0.0,15.6,15.6,7.5,85870,9.0,8.07,1,1.536,-1.136,-2.672,0,0,0
Franklin,Franklin,140.0,1,1,140.0,small,1,0,0,0,42.86,29.29,13.57,42.857142857142854,,,0.0,0.0,42.9,42.9,10.4,73633,11.6,32.46,1,0.189,0.673,0.484,0,0,0
